17,5-Minute Crafts,80100000,26236790209,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901,4797,6781,1,0,0,0,0.05,nan,2020,Jul,27,60,66834405,3.85,55908316,55.378051,-3.435973
40,Ed Sheeran,53500000,30367676736,Music,Ed Sheeran,383,United Kingdom,GB,Music,39,1,18,202720000,50700,810900,608200,9700000,100000,2006,Aug,8,60,66834405,3.85,55908316,55.378051,-3.435973
128,NoCopyrightSounds,33400000,10530729078,Music,NoCopyrightSounds,1331,United Kingdom,GB,Music,402,3,44,55654000,13900,222600,167000,2700000,nan,2011,Aug,14,60,66834405,3.85,55908316,55.378051,-3.435973
138,Mr Bean,32100000,10602236110,Shows,Mr Bean,3091,United Kingdom,GB,Comedy,400,4,5,56534000,14100,226100,169600,2700000,100000,2006,Jan,4,60,66834405,3.85,55908316,55.378051,-3.435973
151,Peppa Pig - Official Channel,31400000,22919271731,Film & Animation,Peppa Pig - Official Channel,3589,United Kingdom,GB,Education,91,5,11,244925000,61200,979700,734800,11800000,300000,2013,Oct,9,60,66834405,3.85,55908316,55.378051,-3.435973
164,Adele,30200000,14199108016,Music,Adele,15,United Kingdom,GB,Music,248,6,53,137099000,34300,548400,411300,6600000,100000,2008,Apr,4,60,66834405,3.85,55908316,55.378051,-3.435973
198,DanTDM,27400000,19417887510,Gaming,DanTDM,3664,United Kingdom,GB,Games,132,7,16,78668000,19700,314700,236000,3800000,500000,2012,Jul,14,60,66834405,3.85,55908316,55.378051,-3.435973
233,Coldplay,25300000,17331663193,Music,Coldplay,398,United Kingdom,GB,Music,160,8,70,198875000,49700,795500,596600,9500000,100000,2010,Jan,3,60,66834405,3.85,55908316,55.378051,-3.435973
243,Dan Rhodes,24800000,17387583720,Entertainment,Dan Rhodes,1644,United Kingdom,GB,Entertainment,157,9,66,331889000,83000,1300000,995700,15900000,500000,2015,Oct,30,60,66834405,3.85,55908316,55.378051,-3.435973
263,KSI,24100000,6002166932,Entertainment,KSI,1252,United Kingdom,GB,Music,1053,10,76,5439000,1400,21800,16300,261100,nan,2009,Jul,25,60,66834405,3.85,55908316,55.378051,-3.435973
275,Mister Max,23700000,15510153803,People & Blogs,Mister Max,1099,United Kingdom,GB,Entertainment,208,11,74,32817000,8200,131300,98400,1600000,nan,2014,Sep,22,60,66834405,3.85,55908316,55.378051,-3.435973
281,Peppa Pig Espa���������,23600000,7920637200,Film & Animation,Peppa Pig Espa���������,1251,United Kingdom,GB,Film,668,12,19,53589000,13400,214400,160800,2600000,100000,2014,Jul,28,60,66834405,3.85,55908316,55.378051,-3.435973
282,Jelly,23500000,14777034543,Gaming,Jelly,6066,United Kingdom,GB,Games,229,13,20,41669000,10400,166700,125000,2000000,nan,2014,May,27,60,66834405,3.85,55908316,55.378051,-3.435973
283,Miss Katy,23500000,14696994366,People & Blogs,Miss Katy,1044,United Kingdom,GB,Entertainment,235,13,76,59629000,14900,238500,178900,2900000,nan,2014,Nov,17,60,66834405,3.85,55908316,55.378051,-3.435973
328,Dua Lipa,21800000,11288359365,Music,Dua Lipa,164,United Kingdom,GB,Music,368,14,87,128047000,32000,512200,384100,6100000,100000,2011,Feb,5,60,66834405,3.85,55908316,55.378051,-3.435973
329,OneDirectionVEVO,21800000,12140232004,Music,OneDirectionVEVO,266,United Kingdom,GB,Music,322,14,87,51134000,12800,204500,153400,2500000,nan,2010,Dec,4,60,66834405,3.85,55908316,55.378051,-3.435973
